,Prediction,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,0,3,2,2,1,2,0,1,3,0,1,2,2,1,2,1,2,2,0,2,2,1,1,1,3,2,2,0,2,0,2,2,3,2,0,2,2,0,1,1,1,3,2,2,3,0,3,1,1,1,3,2,1,3,2,1,1,0,2,3,1
11,0,0,0,2,1,3,2,0,2,0,2,3,2,2,0,1,1,1,3,2,3,1,0,0,1,3,3,1,0,0,2,2,3,2,0,2,1,1,0,1,1,0,2,3,1,2,2,2,3,2,2,2,2,0,2,2,2,3,2,0,2
12,0,2,2,0,0,2,0,3,2,1,3,2,2,0,2,2,0,2,0,0,0,1,1,1,3,2,2,2,0,0,2,2,3,0,2,2,1,3,1,3,2,2,3,2,0,1,1,0,2,2,0,1,0,0,2,2,2,0,2,2,2
13,0,0,0,2,1,3,2,1,0,3,2,3,2,2,0,3,1,1,3,2,0,2,0,0,1,3,3,1,0,2,2,2,3,2,0,2,3,0,1,0,2,2,0,2,0,3,2,3,3,3,1,0,2,1,1,1,3,2,3,3,2
14,0,2,2,0,0,2,0,3,2,3,3,2,2,0,2,2,0,2,0,0,0,1,1,1,3,2,2,2,0,0,2,2,3,0,2,2,1,3,1,3,2,2,3,2,0,1,1,0,2,2,0,1,0,0,2,2,2,0,2,2,2
15,0,0,0,2,1,3,2,1,0,3,2,3,2,2,0,3,1,1,3,2,0,2,0,0,1,3,3,1,0,2,2,2,3,2,0,2,3,0,1,0,2,2,0,2,0,3,2,3,3,3,1,0,2,1,1,1,3,2,3,3,2
16,0,2,2,1,0,1,1,0,1,1,0,1,3,2,0,1,1,3,2,2,2,0,1,0,2,3,2,0,0,3,1,2,3,0,0,2,3,0,3,2,1,1,3,3,3,1,0,1,3,2,1,2,0,2,2,2,2,3,3,1,3
17,0,3,3,2,1,3,1,3,2,2,3,2,0,0,3,3,0,1,0,3,1,3,3,1,3,3,3,0,0,0,2,2,3,0,0,2,2,3,3,2,1,3,1,0,0,1,1,0,2,1,1,3,2,0,2,1,3,2,3,3,3
18,0,1,0,1,1,0,0,2,3,3,1,1,3,2,2,0,0,0,0,3,2,0,0,2,0,1,0,2,0,0,2,2,3,2,0,3,3,1,1,1,1,0,0,1,1,3,2,0,2,2,2,3,2,0,1,1,0,0,2,0,0
19,0,0,1,0,2,0,2,2,0,2,2,1,0,1,1,1,1,3,2,0,0,2,1,3,1,3,1,1,0,0,2,2,3,2,0,2,0,3,1,0,1,1,1,3,2,0,1,2,0,1,1,3,3,2,3,3,2,1,0,1,1
20,0,2,3,2,1,1,1,0,3,1,0,1,1,0,0,1,2,1,1,0,1,1,1,3,2,2,0,1,1,2,2,2,3,2,0,2,3,2,1,1,3,2,2,2,1,3,0,2,1,1,1,3,2,3,1,1,3,2,0,2,1
21,0,1,0,1,2,0,3,1,3,3,3,1,3,1,0,2,0,2,0,2,3,0,1,1,0,2,0,1,1,1,2,2,3,2,0,2,0,2,1,1,1,1,1,0,3,3,1,1,0,0,3,2,1,0,1,1,1,1,1,2,0
22,0,0,2,1,2,2,2,0,2,0,0,3,2,2,2,0,1,1,2,3,1,3,1,1,0,2,0,3,0,1,2,2,3,2,0,2,2,2,1,1,0,2,1,1,1,3,1,0,2,2,1,0,2,2,0,2,2,2,3,3,1
23,0,0,3,2,0,2,0,0,2,0,0,1,3,2,2,2,2,2,1,3,2,3,1,3,3,3,1,3,0,3,2,2,3,0,2,2,1,0,3,2,1,3,3,0,2,1,0,2,1,1,1,1,0,0,0,1,3,1,0,3,2
24,0,3,1,0,2,0,3,2,3,1,0,3,2,3,0,1,0,1,1,2,0,1,3,2,2,0,0,0,0,0,2,2,3,0,0,0,1,2,1,0,0,2,2,2,0,3,3,2,2,0,1,0,3,3,2,1,1,1,0,1,1
25,0,2,0,3,1,1,2,1,1,2,1,1,1,2,3,1,1,0,1,0,1,1,1,2,1,1,2,1,1,0,2,2,3,0,0,2,1,1,1,2,2,1,1,0,2,1,1,2,0,1,1,2,2,2,2,1,0,3,2,1,2
26,0,1,1,1,3,1,1,0,3,1,2,3,2,2,2,2,1,2,1,1,1,1,0,2,2,1,0,1,1,0,2,2,3,0,2,2,2,2,0,2,1,3,2,2,1,3,2,2,2,3,2,2,2,2,1,0,2,1,1,1,1
27,0,1,1,1,0,0,2,2,1,1,0,0,1,1,2,1,2,0,2,0,0,2,0,3,2,0,1,1,1,0,2,2,3,2,0,2,3,2,2,1,1,1,2,1,3,0,1,1,3,1,3,3,1,3,2,2,3,2,2,1,1
28,0,1,3,2,0,2,2,1,0,1,3,1,3,3,1,1,0,2,1,1,3,3,1,1,3,3,1,1,3,2,2,2,3,2,0,2,3,2,2,0,2,0,1,3,2,3,1,3,1,1,1,2,2,1,3,1,3,2,1,1,3
29,0,2,1,1,1,3,2,2,1,0,1,1,1,0,2,1,0,1,0,0,3,2,0,0,2,0,3,1,0,0,2,2,3,2,2,2,3,2,3,1,3,3,3,1,1,3,2,1,1,3,2,0,2,1,3,2,0,1,1,3,2
30,0,2,0,3,1,1,2,1,1,2,1,1,1,2,3,1,1,0,1,0,1,1,1,2,1,1,2,1,1,0,2,2,3,0,0,2,1,1,1,2,2,1,1,0,2,1,1,2,0,1,1,2,2,2,2,1,0,3,2,1,2
31,0,1,1,1,3,1,1,0,3,1,2,3,2,2,2,2,1,2,1,1,1,1,0,2,2,1,0,1,1,0,2,2,3,0,2,2,2,2,0,2,1,3,2,2,1,3,2,2,2,3,2,2,2,2,1,0,2,1,1,1,1
32,0,1,1,1,0,0,2,2,1,1,0,0,1,1,2,1,2,0,2,0,0,2,0,3,2,0,1,1,1,0,2,2,3,2,0,2,3,2,2,1,1,1,2,1,3,0,1,1,3,1,3,3,1,3,2,2,3,2,2,1,1
33,0,1,3,2,0,2,2,1,0,1,3,1,3,3,1,1,0,2,1,1,3,3,1,1,3,3,1,1,3,2,2,2,3,2,0,2,3,2,2,0,2,0,1,3,2,3,1,3,1,1,1,2,2,1,3,1,3,2,1,1,3
34,0,2,1,1,1,3,2,2,1,0,1,1,1,0,2,1,0,1,0,0,3,2,0,0,2,0,3,1,0,0,2,2,3,2,2,2,3,2,3,1,3,3,3,1,1,3,2,1,1,3,2,0,2,1,3,2,0,1,1,3,2
35,0,1,1,2,1,1,1,1,3,1,1,2,1,1,2,3,1,2,1,2,3,3,3,1,3,1,3,2,1,1,2,2,3,2,0,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,3,2,0,2,1,3,2,2
36,0,1,1,3,3,1,1,0,3,1,2,3,1,2,2,2,1,2,1,1,1,1,0,2,0,1,0,1,1,0,2,2,3,2,0,2,3,2,2,0,3,2,2,1,2,1,1,2,1,2,2,2,2,1,3,1,1,3,2,2,2
37,0,1,1,1,0,0,2,2,1,1,0,0,1,0,2,0,2,0,2,0,0,2,0,3,2,0,1,3,1,0,2,2,3,2,0,2,2,1,3,1,2,2,1,1,2,0,1,2,1,1,1,2,3,2,1,3,1,1,3,1,1
38,0,1,2,2,0,2,2,1,2,1,3,2,3,3,1,1,0,2,1,1,3,3,1,1,3,3,1,1,3,2,2,2,3,0,2,2,3,2,3,3,2,3,2,0,2,1,3,0,0,0,2,2,3,3,3,1,3,0,1,3,1
39,0,2,1,1,1,3,2,2,1,2,1,1,1,0,2,1,0,1,1,0,3,2,0,0,2,0,3,1,0,0,2,2,3,2,0,2,3,1,2,0,2,2,2,2,3,3,2,2,3,2,2,1,1,1,3,1,3,2,1,1,3
40,0,2,1,1,1,0,2,0,1,2,1,1,1,2,1,1,3,3,1,2,0,1,0,0,2,1,1,1,0,0,0,2,3,2,0,2,1,2,1,2,1,2,1,2,2,2,2,2,1,3,1,1,2,2,2,2,0,1,2,2,2
41,0,1,0,0,2,1,1,3,2,0,0,0,1,1,0,3,1,3,3,0,3,0,1,3,0,3,2,2,1,0,2,2,3,0,0,2,3,1,1,0,3,0,1,0,2,0,0,2,0,2,1,1,1,3,1,3,1,3,1,1,1
42,0,1,0,0,2,3,3,3,2,0,1,3,0,1,3,0,1,0,3,2,1,1,3,2,1,3,0,3,1,2,1,2,3,2,0,2,3,3,2,1,1,1,1,1,0,0,1,1,1,0,1,0,2,2,3,1,1,3,0,2,2
43,0,0,2,3,2,2,0,2,1,1,0,0,3,1,1,1,1,3,2,2,0,0,1,1,0,2,2,1,3,2,0,2,3,2,0,2,3,2,0,3,2,2,2,1,1,3,2,2,0,0,2,2,2,2,1,1,0,3,2,1,3
44,0,1,1,0,3,1,1,3,2,3,2,1,3,2,1,0,3,2,1,2,1,1,0,1,1,0,2,1,1,1,0,2,3,2,0,2,3,0,2,2,0,3,1,0,1,1,2,1,1,1,3,2,1,1,1,0,2,2,2,1,1
45,0,1,3,1,3,3,2,1,1,3,2,2,0,1,0,3,2,3,1,1,0,2,2,1,1,3,0,1,1,0,2,2,3,2,2,2,3,1,1,3,2,3,2,0,2,0,0,2,2,0,0,3,2,2,0,2,0,2,2,1,3
46,0,2,0,2,2,3,2,2,2,1,3,1,2,2,1,1,2,0,0,2,3,0,2,3,0,0,0,0,2,0,2,2,3,2,0,2,2,2,1,1,3,2,2,2,1,3,2,2,1,1,0,3,2,2,2,2,3,1,1,1,3
47,0,0,2,2,1,3,2,1,2,2,1,0,2,2,0,0,0,0,1,0,3,2,1,0,1,3,3,1,2,0,2,2,3,0,0,2,1,2,2,2,1,1,0,2,2,2,0,2,3,2,2,2,2,0,2,2,0,0,1,1,0
48,0,2,0,0,2,1,1,2,2,0,1,0,1,2,2,0,2,1,0,3,2,1,0,2,3,1,0,3,3,1,2,2,3,2,0,2,1,3,1,3,2,3,3,1,1,1,1,3,2,2,2,1,1,3,2,3,3,1,0,0,3
49,0,2,2,1,3,3,3,0,1,3,2,0,0,2,0,2,2,0,2,3,3,3,0,0,0,0,2,2,1,3,2,2,3,2,0,2,3,2,2,2,3,2,3,2,0,2,1,1,0,3,0,1,3,2,2,1,1,3,3,2,0
50,0,1,1,3,0,3,2,2,2,0,3,2,1,1,0,1,1,3,3,1,0,2,1,1,3,1,3,2,1,0,2,2,3,0,2,2,3,3,1,1,3,2,3,1,3,2,2,2,1,3,3,1,3,2,2,2,1,0,2,3,3
51,0,2,0,2,2,3,2,2,2,1,3,1,2,2,1,1,2,0,0,2,3,0,2,3,0,0,0,0,2,0,2,2,3,2,0,2,2,2,1,1,3,2,2,2,1,3,2,2,1,1,0,3,2,2,2,2,3,1,1,1,3
52,0,2,0,0,1,0,1,3,2,1,0,3,0,2,0,0,0,3,2,0,0,3,0,3,2,2,0,0,3,0,2,2,3,2,0,2,0,3,0,3,3,3,3,2,3,2,3,3,3,3,3,1,3,3,2,3,1,3,3,3,3
53,0,0,3,2,3,0,1,3,2,1,0,2,0,2,0,3,0,0,2,3,3,3,0,2,1,3,2,0,1,1,3,2,3,0,0,2,3,3,3,3,2,1,3,3,0,3,0,3,0,0,0,3,2,3,0,1,3,3,3,0,0
54,0,2,0,0,1,0,2,3,1,3,3,1,0,2,2,2,3,2,3,3,3,0,2,0,0,0,0,1,1,0,2,2,3,2,0,2,3,2,0,0,3,0,0,3,3,3,3,0,0,0,0,0,0,2,1,0,3,3,2,3,2
55,0,3,2,0,0,2,0,0,2,0,1,0,2,2,2,0,2,0,1,0,3,3,1,0,3,2,0,0,1,0,0,2,3,0,0,2,2,0,3,1,1,0,2,3,3,3,0,0,0,2,2,3,0,2,0,3,2,1,0,0,0
56,0,2,0,0,0,0,3,2,1,0,2,3,3,2,0,0,3,2,1,3,3,1,1,0,0,0,1,0,0,0,2,2,3,0,3,1,0,3,0,3,3,3,2,1,2,3,2,2,0,3,0,3,1,3,2,0,0,1,1,0,2
57,0,0,0,0,3,3,3,3,2,2,2,0,1,1,1,2,0,0,1,3,3,3,1,1,0,0,2,1,1,0,3,2,3,0,0,2,3,3,1,0,0,2,3,3,1,3,0,3,1,3,0,2,2,2,0,0,2,0,2,2,2
58,0,2,2,0,2,0,3,2,3,2,1,3,2,2,0,3,3,2,3,1,3,2,1,0,2,2,0,3,2,2,2,2,3,2,0,2,2,0,2,3,1,3,3,2,1,3,3,1,3,3,0,0,0,0,3,0,2,0,0,2,0
59,0,3,3,1,0,2,2,2,2,0,0,0,0,0,0,0,3,0,3,1,3,3,1,3,3,2,2,1,0,0,2,2,3,0,0,1,0,1,0,1,3,1,3,2,3,0,0,0,3,2,1,0,3,2,3,3,1,0,3,2,1
60,0,2,0,0,0,0,1,1,1,3,1,3,3,2,0,0,3,2,1,1,0,0,2,0,3,0,0,0,2,2,0,2,3,0,0,2,3,3,2,1,3,1,3,0,2,0,0,3,3,3,3,0,2,2,2,2,0,2,3,0,3
61,0,2,0,0,0,1,3,0,2,2,0,2,0,0,3,0,3,3,0,1,3,3,0,1,0,0,0,0,3,2,1,2,3,0,3,2,3,3,3,3,3,2,3,0,0,0,1,0,2,3,0,3,3,3,3,3,0,2,3,2,0
62,0,2,0,1,0,0,0,1,3,0,3,3,2,2,1,1,3,2,3,2,2,1,2,0,2,2,2,0,2,1,2,2,3,2,0,2,3,2,3,1,3,2,1,3,3,2,2,3,3,3,2,2,3,1,1,1,0,3,1,3,1
63,0,2,2,2,3,2,3,0,2,1,2,1,3,2,1,0,0,0,1,2,0,3,2,0,0,2,1,0,0,2,0,2,3,0,0,2,0,0,0,1,3,2,3,3,0,1,3,3,2,1,3,0,2,1,0,3,2,2,0,0,0
64,0,1,0,2,2,0,0,1,0,2,2,0,0,2,3,1,3,2,1,3,3,3,2,1,3,2,0,0,2,0,2,2,3,0,1,0,3,2,1,0,2,1,3,1,0,3,3,3,1,0,3,0,1,3,1,0,0,0,0,3,0
65,0,2,3,2,1,3,2,1,3,3,3,2,2,2,0,2,3,3,3,0,0,0,3,3,0,1,3,3,1,0,2,2,3,0,0,1,0,0,0,0,1,0,3,3,1,0,2,0,1,0,0,2,1,1,3,2,0,0,3,0,1
66,0,2,1,1,1,1,2,2,1,2,1,1,1,0,1,1,1,2,1,0,1,1,1,1,3,1,1,1,1,0,2,2,3,1,0,2,3,2,1,2,3,2,1,1,1,2,1,2,1,2,3,2,3,1,3,2,2,2,2,2,2
67,0,0,1,2,2,1,3,1,1,1,2,2,2,0,1,1,3,1,2,2,1,0,2,2,0,3,2,2,0,0,2,2,3,0,3,2,0,2,1,1,3,1,1,3,1,3,1,1,3,3,3,3,2,1,1,1,0,3,3,2,1
68,0,3,2,0,0,2,0,0,0,0,1,1,0,0,2,0,3,1,0,3,1,3,3,3,2,3,2,2,3,2,2,2,3,2,0,2,3,3,2,1,2,2,2,1,0,2,2,1,2,2,2,3,2,2,3,2,1,0,2,1,0
69,0,0,3,1,0,3,2,2,0,2,0,0,2,2,2,2,1,0,2,1,3,2,2,3,3,1,1,0,1,3,2,2,3,2,0,2,3,2,2,2,1,1,1,3,2,2,3,2,2,2,2,3,2,0,2,0,2,2,1,0,2
70,0,2,3,2,1,0,2,1,0,0,2,2,0,2,0,0,2,0,2,3,3,3,2,0,2,1,2,0,1,2,2,2,3,0,0,2,2,1,0,1,3,2,0,1,1,1,0,0,2,3,2,2,2,2,0,3,1,1,3,2,2
71,0,3,3,1,3,0,3,2,0,2,0,0,0,1,2,3,2,2,1,0,3,3,2,3,2,1,2,1,0,0,2,2,3,2,2,2,1,1,1,1,2,1,2,2,2,0,1,2,2,2,2,1,0,2,1,3,1,1,2,2,2
72,0,0,3,3,1,1,0,2,2,2,2,3,2,3,2,3,3,3,1,2,3,1,2,0,2,0,3,2,1,0,1,2,3,0,0,2,0,0,0,3,1,1,0,3,3,3,3,3,1,3,0,3,3,2,3,3,1,0,0,1,3
73,0,0,2,0,3,3,3,2,2,2,0,2,0,0,2,0,0,0,0,3,3,3,1,0,0,0,2,1,1,3,3,2,3,0,0,2,3,3,0,0,0,0,3,0,3,3,2,0,3,2,0,0,3,1,0,0,0,3,3,3,0
74,0,2,0,2,3,1,0,2,1,3,2,0,0,0,0,3,3,2,3,2,0,1,0,0,0,3,1,0,1,3,3,2,3,0,0,2,3,0,1,0,3,3,1,3,0,0,3,3,2,3,2,2,0,2,0,3,3,1,3,3,3
75,0,3,1,0,3,2,0,1,0,0,3,2,0,0,2,0,2,0,1,0,3,3,3,3,3,2,0,0,0,0,0,2,3,0,0,2,3,0,0,3,1,0,2,0,3,2,3,3,3,0,3,0,2,3,3,1,0,0,0,0,3
76,0,2,1,3,2,0,3,0,0,0,2,1,3,2,1,1,3,2,1,1,3,2,3,3,2,1,1,0,0,0,2,2,3,0,3,3,0,3,2,1,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,2,0,2,3
77,0,0,0,0,0,3,3,3,2,2,0,2,0,0,0,2,0,2,1,3,3,3,1,0,0,0,2,1,0,3,2,2,3,0,0,0,3,0,1,3,3,3,3,0,0,0,1,0,3,0,2,3,3,2,2,1,0,3,1,3,3
78,0,2,2,0,2,0,3,1,3,2,1,3,3,2,0,0,3,2,3,2,1,3,2,0,3,2,0,1,0,2,2,2,3,0,0,0,2,0,2,3,1,2,3,1,2,0,3,0,3,2,1,3,3,3,3,3,2,2,3,0,2
79,0,3,2,1,3,2,0,2,2,1,0,0,0,2,2,0,3,2,3,1,3,3,1,1,3,2,2,2,1,0,3,2,3,0,0,2,3,0,2,0,3,0,0,2,0,0,0,3,3,0,3,3,1,3,3,3,3,0,3,0,2
80,0,2,1,0,2,0,3,1,1,3,1,0,3,2,0,0,3,2,1,3,0,3,2,1,1,0,0,0,2,3,2,2,3,0,2,2,3,3,3,0,3,3,2,3,3,2,2,0,0,0,0,0,0,0,3,2,3,0,2,3,3
81,0,2,1,0,2,1,3,3,2,2,0,2,0,2,3,0,1,0,0,0,3,3,1,1,0,2,0,0,3,2,1,2,3,0,0,2,3,0,0,3,3,3,3,3,0,3,3,2,0,1,3,2,0,3,3,3,3,3,3,3,3
82,0,2,1,0,0,0,0,0,2,0,0,3,2,1,1,1,3,2,3,2,1,0,2,0,0,2,0,1,3,0,3,2,3,2,0,2,3,1,3,3,3,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,3,0,0
83,0,3,2,0,2,0,0,2,2,0,2,0,2,0,1,0,0,0,3,1,0,0,2,0,0,0,1,0,0,0,1,2,3,2,0,2,2,0,2,3,0,3,3,3,1,0,3,3,0,1,3,2,1,0,3,2,3,2,3,3,3
84,0,2,0,1,2,0,3,0,0,2,2,0,2,0,1,1,3,2,1,3,3,3,2,1,1,2,0,2,2,0,2,2,3,0,1,3,0,1,0,2,3,3,1,3,1,3,3,1,0,3,3,3,3,0,0,3,0,3,2,3,1
85,0,1,3,3,0,3,0,0,1,0,3,1,0,1,0,3,3,3,0,0,0,0,2,1,0,3,1,3,1,0,2,2,3,0,0,1,3,0,3,0,3,3,3,3,2,0,0,3,3,3,3,3,3,0,0,0,0,0,0,2,3
86,0,2,0,1,2,0,3,0,0,2,2,0,2,0,1,1,3,2,1,3,3,3,2,1,1,2,0,2,2,0,2,2,3,0,1,3,0,1,0,2,3,3,1,3,1,3,3,1,0,3,3,3,3,0,0,3,0,3,2,3,1
87,0,2,2,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,0,3,1,0,3,1,1,1,0,2,2,3,0,0,3,2,0,2,2,1,3,1,1,1,1,0,2,1,1,3,2,1,1,1,3,0,1,0,1,0
88,0,1,1,0,0,2,0,0,1,1,3,1,0,3,1,0,3,2,3,3,1,1,3,2,2,2,3,2,0,1,2,2,3,2,0,2,3,2,0,2,1,1,0,2,1,1,3,3,1,1,0,2,1,1,1,1,2,1,0,2,1
89,0,2,0,1,1,2,1,3,3,1,1,1,2,3,0,1,2,3,2,2,1,3,1,3,2,3,1,1,0,0,2,2,3,0,0,2,3,2,1,3,2,2,2,1,3,0,1,1,3,3,0,2,0,2,3,1,1,3,1,1,0
90,0,3,1,3,1,1,2,3,2,2,3,2,0,0,3,1,2,2,2,1,1,0,0,2,0,0,0,2,1,0,2,2,3,2,2,0,2,1,3,2,2,2,2,1,1,1,2,2,1,3,2,3,2,2,2,2,3,1,0,2,2
91,0,0,1,2,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,3,2,2,0,1,0,3,3,2,0,3,2,3,2,1,2,0,1,1,1,1,1,2,2,2,1,1,0,0,2,2,2,3,2,2,2,2,1,3,2,2
92,0,1,3,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,2,0,0,2,1,0,1,1,0,2,2,3,2,0,3,2,2,2,2,2,1,3,2,2,3,2,2,2,3,2,3,2,1,3,2,2,2,1,0,1
93,0,1,1,1,3,2,2,0,1,1,1,2,3,1,3,2,3,2,0,1,1,1,0,3,1,3,1,0,3,2,2,2,3,0,0,3,2,0,1,1,1,1,1,3,3,1,1,3,2,1,1,1,3,2,2,1,0,3,1,1,3
94,0,0,1,1,1,1,1,2,1,2,2,1,3,3,1,3,3,1,1,3,1,3,3,1,2,3,2,2,0,2,2,2,3,2,1,2,3,2,2,3,2,2,1,1,1,3,2,2,2,0,2,3,2,2,2,2,2,2,3,3,2
95,0,2,1,3,0,1,1,1,1,1,3,2,1,2,0,2,2,2,0,2,1,3,1,1,0,3,1,3,3,1,2,2,3,0,2,2,1,1,3,2,2,2,2,0,3,2,0,2,3,2,2,1,0,2,2,3,2,1,3,2,1
96,0,1,1,1,2,2,1,1,2,2,0,3,2,3,3,0,1,2,2,0,2,0,2,1,2,0,2,0,2,1,2,2,3,2,0,2,3,2,1,1,2,3,2,2,2,2,3,2,2,1,1,3,2,0,2,2,2,2,2,0,1
97,0,2,2,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,2,3,1,0,3,1,1,1,0,2,2,3,0,0,3,2,0,2,2,1,3,1,1,1,1,0,0,2,1,3,2,3,3,1,1,0,1,0,1,0
98,0,1,1,0,0,2,0,0,1,1,3,1,0,3,1,1,3,1,3,3,1,1,3,2,2,2,1,2,0,3,2,2,3,2,0,2,3,2,0,2,1,0,0,2,2,1,1,3,2,3,1,1,0,2,1,1,1,1,2,3,0
99,0,2,0,1,1,2,1,3,3,1,1,1,0,3,0,1,1,3,2,2,1,3,1,3,2,3,1,1,0,0,2,2,3,0,0,2,2,2,1,3,2,2,2,1,1,0,1,1,3,1,0,2,0,2,3,1,1,3,1,1,0
100,0,3,1,3,1,1,2,3,2,0,3,2,0,0,1,1,2,2,2,1,1,0,0,2,1,0,0,2,1,0,2,2,3,2,0,2,1,3,2,2,2,2,1,1,1,2,1,3,2,3,2,2,2,2,3,1,0,2,2,0,1
101,0,0,1,3,1,0,2,1,3,1,0,3,1,3,1,1,0,0,1,0,3,2,2,0,1,0,3,3,2,0,1,2,3,2,1,2,0,1,1,1,1,1,2,2,2,1,1,0,0,2,2,2,1,3,2,2,2,2,1,3,2
102,0,1,3,2,2,3,2,1,0,2,2,0,0,3,2,2,1,3,2,2,1,0,0,0,2,1,0,1,1,0,2,2,3,2,0,3,2,2,2,2,2,1,3,2,2,3,2,2,2,3,2,3,2,2,2,0,2,2,1,0,1
103,0,1,1,1,3,2,2,0,1,1,0,2,3,1,3,2,3,2,0,1,1,1,0,3,1,3,1,0,3,2,2,2,3,0,0,3,2,0,1,1,1,1,1,3,3,1,1,3,2,1,1,1,3,2,2,1,0,3,3,1,1
104,0,0,1,1,1,1,1,2,1,2,2,1,3,3,1,3,0,1,1,3,1,3,3,3,2,3,2,2,0,2,2,2,3,2,1,2,3,2,2,3,2,2,1,1,1,1,3,2,2,2,2,0,2,3,2,2,0,2,2,0,0
105,0,2,1,3,0,1,0,1,1,3,3,2,1,2,0,2,2,2,0,2,1,3,1,1,0,3,1,3,3,1,2,2,3,0,2,2,1,1,3,2,2,2,2,0,2,0,2,3,2,2,1,0,2,2,3,2,1,3,2,1,3
106,0,3,2,1,2,0,1,1,0,2,0,1,2,3,2,0,0,3,2,0,2,0,2,1,2,0,2,0,2,1,2,2,3,2,0,2,3,2,0,2,2,1,3,2,0,0,3,2,2,1,1,1,2,3,2,1,0,2,2,2,2
107,0,1,0,1,0,1,0,2,2,2,1,0,1,1,1,1,1,3,1,0,0,0,1,1,1,2,2,3,0,3,1,3,3,2,0,0,2,3,0,1,3,2,3,3,3,1,1,2,2,2,2,3,0,1,3,1,0,1,0,0,3
108,0,2,2,1,3,0,1,0,2,1,3,1,3,1,1,1,3,2,2,2,1,0,3,1,0,3,1,1,1,0,2,2,3,0,0,3,2,0,2,2,1,3,1,1,1,1,2,0,2,1,3,2,1,1,1,1,3,0,1,0,1
109,0,1,1,0,0,2,0,0,1,1,3,1,0,3,1,0,3,1,3,3,1,1,3,2,2,2,1,2,0,3,2,2,3,2,0,2,3,2,0,2,1,1,0,2,2,1,1,3,3,1,1,0,2,1,1,1,3,2,1,0,2
